"genome"	"Sample_name"	"Relative_abundance"	"Completeness"	"Contamination"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Family_genus"	"Family_genus_bin"	"DNA_kit"	"Storage"	"Volume_used"
"MBSoxNitrifying2mlFrozenRep2_complete.2"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.1944	99.42	2.8	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Aggregatilineales*"	"*Phototrophicaceae*"	"*JAIOHN01*"	"**Unidentified species**"	"*Phototrophicaceae*, *JAIOHN01*"	"*Phototrophicaceae*, *JAIOHN01* (MBSoxNitrifying2mlFrozenRep2_complete.2)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.44"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.4491	99.1	0.02	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Xanthobacteraceae*"	"*Ga0077548*"	"**Unidentified species**"	"*Xanthobacteraceae*, *Ga0077548*"	"*Xanthobacteraceae*, *Ga0077548* (MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.44)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.50"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1126	95.04	0.19	"d__Bacteria"	"*Verrucomicrobiota*"	"*Verrucomicrobiae*"	"*Chthoniobacterales*"	"*Xiphinematobacteraceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Xiphinematobacteraceae*, **Unidentified genus**"	"*Xiphinematobacteraceae*, **Unidentified genus** (MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.50)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_semibin2_4"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	2.5221	97.67	2.88	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Aggregatilineales*"	"*Phototrophicaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Phototrophicaceae*, **Unidentified genus**"	"*Phototrophicaceae*, **Unidentified genus** (MBSoxNitrifying2mlFrozenRep2_metaMDBG_semibin2_4)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_complete.10"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	3.2931	96.34	0.3	"d__Bacteria"	"*Verrucomicrobiota*"	"*Verrucomicrobiae*"	"*Opitutales*"	"*UBA2995*"	"**Unidentified genus**"	"**Unidentified species**"	"*UBA2995*, **Unidentified genus**"	"*UBA2995*, **Unidentified genus** (MBSoxNitrifying4mlFreshRep3_complete.10)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_complete.11"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	3.3202	100	0.49	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Xanthobacteraceae*"	"*Nitrobacter*"	"**Unidentified species**"	"*Xanthobacteraceae*, *Nitrobacter*"	"*Xanthobacteraceae*, *Nitrobacter* (MBSoxNitrifying4mlFreshRep3_complete.11)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_complete.19"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.7499	95.63	0.15	"d__Bacteria"	"*Planctomycetota*"	"*Planctomycetia*"	"*Gemmatales*"	"*Gemmataceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Gemmataceae*, **Unidentified genus**"	"*Gemmataceae*, **Unidentified genus** (MBSoxNitrifying4mlFreshRep3_complete.19)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_complete.2"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.1397	100	1.59	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Flavitalea*"	"**Unidentified species**"	"*Chitinophagaceae*, *Flavitalea*"	"*Chitinophagaceae*, *Flavitalea* (MBSoxNitrifying4mlFreshRep3_complete.2)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_complete.26"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.754	99.85	0.11	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Flavobacteriaceae*"	"*Flavobacterium*"	"**Unidentified species**"	"*Flavobacteriaceae*, *Flavobacterium*"	"*Flavobacteriaceae*, *Flavobacterium* (MBSoxNitrifying4mlFreshRep3_complete.26)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.19"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.8214	99.95	0.42	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Flavobacteriaceae*"	"*Arenibacter*"	"**Unidentified species**"	"*Flavobacteriaceae*, *Arenibacter*"	"*Flavobacteriaceae*, *Arenibacter* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.19)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.26"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.7764	99.14	0	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*PHOS-HE28*"	"*PHOS-HE28*"	"*PHOS-HE28 sp019638085*"	"*PHOS-HE28*, *PHOS-HE28*"	"*PHOS-HE28*, *PHOS-HE28* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.26)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.1247	100	0.06	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Terrimonas_A*"	"**Unidentified species**"	"*Chitinophagaceae*, *Terrimonas_A*"	"*Chitinophagaceae*, *Terrimonas_A* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.39)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.48"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	44.097	99.33	0.07	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Nitrosomonadaceae*"	"*Nitrosospira*"	"**Unidentified species**"	"*Nitrosomonadaceae*, *Nitrosospira*"	"*Nitrosomonadaceae*, *Nitrosospira* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.48)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"MBSoxNitrifying4mlFreshRep3_semibin2_3"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0623	84.1	2.49	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*HIGH02-12-38-15*"	"*HIGH02-12-38-15*"	"*HIGHO2-12-38-15*"	"**Unidentified species**"	"*HIGH02-12-38-15*, *HIGHO2-12-38-15*"	"*HIGH02-12-38-15*, *HIGHO2-12-38-15* (MBSoxNitrifying4mlFreshRep3_semibin2_3)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.10"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.4927	94.03	0.74	"d__Bacteria"	"*Desulfobacterota_D*"	"*UBA1144*"	"*UBA2774*"	"*UBA2774*"	"*JADLGH01*"	"*JADLGH01 sp020849425*"	"*UBA2774*, *JADLGH01*"	"*UBA2774*, *JADLGH01* (NitrifyingCombined_complete.10)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.14"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.254	99.06	2.52	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*SP197*"	"*SP197*"	"*CALGGB01*"	"**Unidentified species**"	"*SP197*, *CALGGB01*"	"*SP197*, *CALGGB01* (NitrifyingCombined_complete.14)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.27"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.3678	99.93	0.27	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"**Unidentified species**"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_complete.27)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.3"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.8005	95.16	0.11	"d__Bacteria"	"*Deinococcota*"	"*Deinococci*"	"*Deinococcales*"	"*Trueperaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Trueperaceae*, **Unidentified genus**"	"*Trueperaceae*, **Unidentified genus** (NitrifyingCombined_complete.3)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.32"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1344	95.39	0.24	"d__Bacteria"	"*Planctomycetota*"	"*Planctomycetia*"	"*Pirellulales*"	"*Lacipirellulaceae*"	"*Bythopirellula*"	"**Unidentified species**"	"*Lacipirellulaceae*, *Bythopirellula*"	"*Lacipirellulaceae*, *Bythopirellula* (NitrifyingCombined_complete.32)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.40"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0456	99.98	2.82	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_complete.40)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.43"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.2207	100	0.9	"d__Bacteria"	"*Acidobacteriota*"	"*Vicinamibacteria*"	"*Vicinamibacterales*"	"*Vicinamibacteraceae*"	"*JAEZDP01*"	"**Unidentified species**"	"*Vicinamibacteraceae*, *JAEZDP01*"	"*Vicinamibacteraceae*, *JAEZDP01* (NitrifyingCombined_complete.43)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.44"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.4464	100	0.43	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Sphingomonadales*"	"*Sphingomonadaceae*"	"*Allosphingosinicella*"	"**Unidentified species**"	"*Sphingomonadaceae*, *Allosphingosinicella*"	"*Sphingomonadaceae*, *Allosphingosinicella* (NitrifyingCombined_complete.44)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.45"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.2331	97.71	1.94	"d__Bacteria"	"*Actinomycetota*"	"*Acidimicrobiia*"	"*Acidimicrobiales*"	"*Ilumatobacteraceae*"	"*Desertimonas*"	"**Unidentified species**"	"*Ilumatobacteraceae*, *Desertimonas*"	"*Ilumatobacteraceae*, *Desertimonas* (NitrifyingCombined_complete.45)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.48"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0834	99.99	1.74	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Tepidamorphaceae*"	"*Tepidamorphus*"	"**Unidentified species**"	"*Tepidamorphaceae*, *Tepidamorphus*"	"*Tepidamorphaceae*, *Tepidamorphus* (NitrifyingCombined_complete.48)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.5"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1075	100	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Sphingomonadales*"	"*Sphingomonadaceae*"	"*Sphingosinicella*"	"*Sphingosinicella sp019454625*"	"*Sphingomonadaceae*, *Sphingosinicella*"	"*Sphingomonadaceae*, *Sphingosinicella* (NitrifyingCombined_complete.5)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.50"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	2.5489	100	1.46	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhodobacterales*"	"*Rhodobacteraceae*"	"*Pararhodobacter*"	"**Unidentified species**"	"*Rhodobacteraceae*, *Pararhodobacter*"	"*Rhodobacteraceae*, *Pararhodobacter* (NitrifyingCombined_complete.50)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.7"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.8624	100	0.67	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_complete.7)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.75"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1458	96.73	1.47	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Anaerolineales*"	"*UBA11579*"	"*JAMCZK01*"	"*JAMCZK01 sp019637805*"	"*UBA11579*, *JAMCZK01*"	"*UBA11579*, *JAMCZK01* (NitrifyingCombined_complete.75)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_complete.9"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.4634	93.45	2.8	"d__Bacteria"	"*Chloroflexota*"	"*Dehalococcoidia*"	"*UBA2979*"	"*UBA2979*"	"*W-Chloroflexi-9*"	"**Unidentified species**"	"*UBA2979*, *W-Chloroflexi-9*"	"*UBA2979*, *W-Chloroflexi-9* (NitrifyingCombined_complete.9)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.11"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.4881	99.98	0.46	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Mesorhizobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Mesorhizobium_A*"	"*Rhizobiaceae*, *Mesorhizobium_A* (NitrifyingCombined_metaMDBG_complete.11)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.14"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0694	98.63	0.54	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Burkholderiaceae*"	"*Zeimonas*"	"**Unidentified species**"	"*Burkholderiaceae*, *Zeimonas*"	"*Burkholderiaceae*, *Zeimonas* (NitrifyingCombined_metaMDBG_complete.14)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.15"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.2073	99.19	0.58	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*GCA-2729495*"	"*GCA-2729495*"	"*SHZI01*"	"**Unidentified species**"	"*GCA-2729495*, *SHZI01*"	"*GCA-2729495*, *SHZI01* (NitrifyingCombined_metaMDBG_complete.15)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.16"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.08	100	0.24	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"**Unidentified species**"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_metaMDBG_complete.16)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.27"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.3548	99.96	0	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Nitrosomonadaceae*"	"*Nitrosomonas*"	"**Unidentified species**"	"*Nitrosomonadaceae*, *Nitrosomonas*"	"*Nitrosomonadaceae*, *Nitrosomonas* (NitrifyingCombined_metaMDBG_complete.27)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.31"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.3791	100	1.24	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Reyranellales*"	"*JAQSWP01*"	"*JAQSWP01*"	"**Unidentified species**"	"*JAQSWP01*, *JAQSWP01*"	"*JAQSWP01*, *JAQSWP01* (NitrifyingCombined_metaMDBG_complete.31)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.43"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1336	99.86	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Hyphomicrobiaceae*"	"*Ga0077530*"	"**Unidentified species**"	"*Hyphomicrobiaceae*, *Ga0077530*"	"*Hyphomicrobiaceae*, *Ga0077530* (NitrifyingCombined_metaMDBG_complete.43)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.45"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	6e-04	98.76	0.49	"d__Bacteria"	"*Bdellovibrionota*"	"*Bdellovibrionia*"	"*Bdellovibrionales*"	"*JAMLIO01*"	"*JAMLIO01*"	"**Unidentified species**"	"*JAMLIO01*, *JAMLIO01*"	"*JAMLIO01*, *JAMLIO01* (NitrifyingCombined_metaMDBG_complete.45)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.55"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.8683	99.99	0.27	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Parvibaculales*"	"*Parvibaculaceae*"	"*Parvibaculum*"	"**Unidentified species**"	"*Parvibaculaceae*, *Parvibaculum*"	"*Parvibaculaceae*, *Parvibaculum* (NitrifyingCombined_metaMDBG_complete.55)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.72"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	1.3654	100	0.37	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"*Vitreimonas sp024707365*"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_metaMDBG_complete.72)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.75"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.8341	100	0.05	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Xanthomonadales*"	"*UBA2363*"	"*Pseudofulvimonas*"	"**Unidentified species**"	"*UBA2363*, *Pseudofulvimonas*"	"*UBA2363*, *Pseudofulvimonas* (NitrifyingCombined_metaMDBG_complete.75)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_complete.85"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1185	99.9	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*RCIO01*"	"**Unidentified species**"	"*Rhizobiaceae*, *RCIO01*"	"*Rhizobiaceae*, *RCIO01* (NitrifyingCombined_metaMDBG_complete.85)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_metabat2.33"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1566	98.81	1.6	"d__Bacteria"	"*Gemmatimonadota*"	"*Gemmatimonadetes*"	"*Longimicrobiales*"	"*RSA9*"	"**Unidentified genus**"	"**Unidentified species**"	"*RSA9*, **Unidentified genus**"	"*RSA9*, **Unidentified genus** (NitrifyingCombined_metaMDBG_metabat2.33)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_metabat2.5"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.3502	95.66	2.12	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Sphingobacteriales*"	"*Sphingobacteriaceae*"	"*Parapedobacter*"	"**Unidentified species**"	"*Sphingobacteriaceae*, *Parapedobacter*"	"*Sphingobacteriaceae*, *Parapedobacter* (NitrifyingCombined_metaMDBG_metabat2.5)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_metabat2.68"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0748	90.39	1.47	"d__Bacteria"	"*Eremiobacterota*"	"*Xenobia*"	"*Xenobiales*"	"*JADMJV01*"	"*JAEXNA01*"	"**Unidentified species**"	"*JADMJV01*, *JAEXNA01*"	"*JADMJV01*, *JAEXNA01* (NitrifyingCombined_metaMDBG_metabat2.68)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_metabat2.7"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0494	99.9	0.08	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Hyphomicrobiaceae*"	"*Hyphomicrobium_C*"	"**Unidentified species**"	"*Hyphomicrobiaceae*, *Hyphomicrobium_C*"	"*Hyphomicrobiaceae*, *Hyphomicrobium_C* (NitrifyingCombined_metaMDBG_metabat2.7)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_metabat2.91"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.2106	98.3	0.01	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Flavipsychrobacter*"	"**Unidentified species**"	"*Chitinophagaceae*, *Flavipsychrobacter*"	"*Chitinophagaceae*, *Flavipsychrobacter* (NitrifyingCombined_metaMDBG_metabat2.91)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_metabat2.97"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0539	95.03	1.64	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Aquamicrobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Aquamicrobium_A*"	"*Rhizobiaceae*, *Aquamicrobium_A* (NitrifyingCombined_metaMDBG_metabat2.97)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_semibin2_14"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0951	91.68	1.67	"d__Bacteria"	"*Chloroflexota*"	"*Chloroflexia*"	"*Thermomicrobiales*"	"*UBA6265*"	"*JACCYK01*"	"**Unidentified species**"	"*UBA6265*, *JACCYK01*"	"*UBA6265*, *JACCYK01* (NitrifyingCombined_metaMDBG_semibin2_14)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_semibin2_18"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.077	87.01	2	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Caldilineales*"	"*Caldilineaceae*"	"*QEUY01*"	"**Unidentified species**"	"*Caldilineaceae*, *QEUY01*"	"*Caldilineaceae*, *QEUY01* (NitrifyingCombined_metaMDBG_semibin2_18)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_semibin2_28"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.0079	93.68	3.02	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Legionellales*"	"*Legionellaceae*"	"*Legionella*"	"**Unidentified species**"	"*Legionellaceae*, *Legionella*"	"*Legionellaceae*, *Legionella* (NitrifyingCombined_metaMDBG_semibin2_28)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metaMDBG_semibin2_3"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.202	95.35	1.2	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Crocinitomicaceae*"	"*Taishania*"	"**Unidentified species**"	"*Crocinitomicaceae*, *Taishania*"	"*Crocinitomicaceae*, *Taishania* (NitrifyingCombined_metaMDBG_semibin2_3)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metabat2.123"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.3624	100	0.39	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Xanthomonadales*"	"*Xanthomonadaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Xanthomonadaceae*, **Unidentified genus**"	"*Xanthomonadaceae*, **Unidentified genus** (NitrifyingCombined_metabat2.123)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
"NitrifyingCombined_metabat2.198"	"PB127C_MBSox_4ml_fresh_rep3.hifi_reads.fastq.gz"	0.1531	86.12	2.7	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Caldilineales*"	"*Caldilineaceae*"	"*CFX5*"	"**Unidentified species**"	"*Caldilineaceae*, *CFX5*"	"*Caldilineaceae*, *CFX5* (NitrifyingCombined_metabat2.198)"	"MetagenomBio SOX"	"Fresh"	"4 mL"
